mens,Circuit Franco Belge,circuit-franco-belge,10/06/2026,1
mens,Dwars door het Hageland,dwars-door-het-hageland,13/06/2026,1
mens,GP Gippingen,gp-du-canton-d-argovie,14/06/2026,1
mens,Giro d'Italia Next Gen,giro-ciclistico-d-italia,14/06/2026,8
mens,Copenhagen Sprint,copenhagen-sprint,14/06/2026,1
mens,Tour of Slovenia,tour-of-slovenia,17/06/2026,5
mens,Baloise Belgium Tour,tour-of-belgium,17/06/2026,5
mens,Tour de Suisse,tour-de-suisse,17/06/2026,5
mens,La Route d'Occitanie - La Dépêche du Midi,la-route-d-occitanie,19/06/2026,4
mens,Andorra Morabanc Clàssica,andorra-morabanc-classica,21/06/2026,4
mens,Tour de France,tour-de-france,04/07/2026,23
mens,Sibiu Cycling Tour,sibiu-cycling-tour,04/07/2026,4
mens,Tour of Magnificent Qinghai,tour-of-magnificent-qinghai,05/07/2026,8
mens,Tour of Austria,tour-of-austria,08/07/2026,5
mens,Giro Ciclistico della Valle d'Aosta - Mont Blanc,giro-ciclistico-della-valle-d-aosta-mont-blanc,15/07/2026,5
mens,Clásica de Ordizia - Ordiziako Klasikoa,prueba-villafranca,25/07/2026,1
mens,Vuelta a Castilla y Leon,vuelta-a-castilla-y-leon,26/07/2026,1
mens,Tour de l'Ain,tour-de-l-ain,28/07/2026,3
mens,Postnord Danmark Rundt,tour-of-denmark,29/07/2026,5
mens,Donostia San Sebastian Klasikoa,san-sebastian,01/08/2026,1
mens,Circuito de Getxo-Memorial Hermanos Otxoa,circuito-de-getxo,02/08/2026,1
mens,Tour de Pologne,tour-de-pologne,03/08/2026,7
mens,Vuelta a Burgos,vuelta-a-burgos,05/08/2026,5
mens,Czech Tour,czech-tour,13/08/2026,4
mens,Arctic Race of Norway,arctic-race-of-norway,13/08/2026,4
mens,ADAC Cyclassics,cyclassics-hamburg,16/08/2026,1
mens,La Polynormande,la-poly-normande,16/08/2026,1
mens,Tour du Limousin Périgord - Nouvelle Aquitane,tour-du-limousin,18/08/2026,4
mens,Tour de l'Avenir,tour-de-l-avenir,19/08/2026,9
mens,Deutschland Tour,deutschland-tour,19/08/2026,5
mens,Renewi Tour,renewi-tour,19/08/2026,5
mens,Vuelta a España,vuelta-a-espana,22/08/2026,23
mens,TPC en Nouvelle Aquitaine,tour-du-poitou-charentes-et-de-la-vienne,25/08/2026,4
mens,Muur Classic Geraardsbergen,muur-classic-geraardsbergen,26/08/2026,1
mens,Bretagne Classic - Ouest France,bretagne-classic,30/08/2026,1
mens,Philadelphia Cycling Classic,philadelphia-international-championship,30/08/2026,1
mens,Maryland Cycling Classic,maryland-cycling-classic,02/09/2026,3
mens,Tour of Britain,tour-of-britain,02/09/2026,5
mens,Tour of Istanbul,tour-of-istanbul,03/09/2026,4
mens,GP Industria & Artigianato,gp-industria-artigianato,06/09/2026,1
mens,Giro della Toscana - Memorial Alfredo Martini,giro-di-toscana,09/09/2026,1
mens,Coppa Sabatini / GP Citta di Peccioli,gp-citta-di-peccioli,10/09/2026,1
mens,Grand Prix Cycliste de Québec,gp-quebec,11/09/2026,1
mens,Memorial Marco Pantani,memorial-marco-pantani,12/09/2026,1
mens,Tour of Taihu Lake,tour-of-taihu-lake,12/09/2026,4
mens,GP Cycliste de Montréal,gp-montreal,13/09/2026,1
mens,GP de Fourmies / La Voix du Nord,gp-de-fourmies,13/09/2026,1
mens,Trofeo Matteotti,trofeo-matteotti,13/09/2026,1
mens,Il Giro d'Abruzzo,giro-d-abruzzo,15/09/2026,4
mens,SKODA Tour Luxembourg,tour-de-luxembourg,16/09/2026,5
mens,Okolo Slovenska / Tour de Slovaquie,okolo-slovenska,16/09/2026,5
mens,GP de Wallonie,gp-de-wallonie,16/09/2026,1
mens,Kampioenschap van Vlaanderen,kampioenschap-van-vlaanderen1,18/09/2026,1
mens,SUPER 8 - Primus Classic,gp-impanis-van-petegem,19/09/2026,1
mens,Gooikse Pijl,gooikse-pijl,20/09/2026,1
mens,World Championship Time Trial,world-championship-itt,20/09/2026,1
mens,GP d'Isbergues - Pas de Calais,gp-d-isbergues,20/09/2026,1
mens,Giro della Romagna,giro-di-romagna,20/09/2026,1
mens,World Mens U23 Time Trial,world-championships-itt-u23,21/09/2026,1
mens,CRO Race,tour-of-croatia,22/09/2026,6
mens,World Championship Mixed Time Trial,world-championship-mixed-relay-ttt,22/09/2026,1
mens,Omloop van het Houtland,omloop-van-het-houtland-lichtervelde,23/09/2026,1
mens,World Mens U23 Road Race,world-championships-u23,25/09/2026,1
mens,World Championship Road Race,world-championship,27/09/2026,1
mens,Tour de Langkawi,tour-de-langkawi,27/09/2026,8
mens,Paris-Chauny,paris-chauny-classique,27/09/2026,1
mens,Sparkassen Münsterland Giro,munsterland-giro,03/10/2026,1
mens,Giro dell'Emilia,giro-dell-emilia,03/10/2026,1
mens,Il Piccolo Lombardia,piccolo-giro-di-lombardia,03/10/2026,1
mens,Tour de Vendée,tour-de-vendee,04/10/2026,1
mens,UEC Road European Championships- RR,uec-road-european-championships,04/10/2026,1
mens,Coppa Agostoni - Giro delle Brianze,coppa-agostoni,04/10/2026,1
mens,Coppa Bernocchi - GP BPM,coppa-bernocchi,05/10/2026,1
mens,Tre Valli Varesine,tre-valli-varesine,06/10/2026,1
mens,Binche-Chimay-Binche-Memorial Frank Vandenbroucke,memorial-frank-vandenbroucke,06/10/2026,1
mens,UEC Road European Championships- ITT,uec-road-european-championships-itt,07/10/2026,1
mens,Gran Piemonte,gran-piemonte,08/10/2026,1
mens,Il Lombardia,il-lombardia,10/10/2026,1
mens,Paris-Tours,paris-tours,11/10/2026,1
mens,Paris-Tours Espoirs,paris-tours-espoirs,11/10/2026,1
mens,Tour of Guangxi,tour-of-guangxi,13/10/2026,6
mens,Giro del Veneto,giro-del-veneto,14/10/2026,1
mens,Veneto Classic,veneto-classic,18/10/2026,1
mens,Japan Cup Cycle Road Race,japan-cup,18/10/2026,1
mens,Chrono des Nations,chrono-des-nations,18/10/2026,1
womens,Omloop Het Nieuwsblad,omloop-het-nieuwsblad-we,28/02/2026,1
womens,Omloop van het Hageland,omloop-van-het-hageland,01/03/2026,1
womens,Le Samyn des Dames,le-samyn-des-dames,02/03/2026,1
womens,Vuelta Extremadura Féminas,vuelta-extremadura-feminas,06/03/2026,1
