mens,Andrea Pasqualon,ITA,XYZ,1,1,0
mens,Andrea Peron,ITA,TNN,1,1,0
mens,Andrea Pietrobon,ITA,PTV,1,1,0
mens,Andrea Piras,ITA,TFT,1,1,0
mens,Andrea Raccagni Noviero,ITA,SOQ,2,1,240
mens,Andrea Vendrame,ITA,JAY,2,4,175
mens,Andreas Kron,DEN,UXM,1,3,50
mens,Andreas Leknessund,NOR,UXM,4,1,360
mens,Andreas Miltiadis,CYP,QPT,2,1,200
mens,Andreas Stokbro,DEN,TCQ,1,1,30
mens,Andres Camilo Ardila,COL,XYZ,1,1,0
mens,Andrew August,USA,IGD,1,1,15
mens,Andrii Ponomar,UKR,XYZ,1,1,80
mens,Ángel Fuentes,ESP,XYZ,1,1,0
mens,Angel Sanchez,ESP,TAV,1,1,0
mens,Anthon Charmig,DEN,UXM,1,1,110
mens,Anthony Delaplace,FRA,ZZZ,1,1,0
mens,Anthony Perez,FRA,ZZZ,1,1,0
mens,Anthony Turgis,FRA,TEN,2,2,260
mens,Antoine Debons,SUI,ZZZ,1,1,0
mens,Antoine Huby,FRA,XYZ,1,1,50
mens,Antoine L'Hote,FRA,DCT,1,0,0
mens,Antoine Raugel,FRA,VRR,1,1,0
mens,Anton Kuzmin,KAZ,XAT,1,1,0
mens,Anton Muller,FRA,TNN,1,1,0
mens,Anton Palzer,GER,XYZ,1,1,0
mens,Anton Schiffer,GER,TVL,1,0,0
mens,Antonio Angulo,ESP,XYZ,1,1,0
mens,Antonio Carvalho,POR,XYZ,1,1,0
mens,Antonio Jesus Soto,ESP,EKP,1,1,0
mens,Antonio Morgado,POR,UAD,5,6,440
mens,Antonio Pedrero,ESP,XYZ,1,1,60
mens,Antonio Polga,ITA,TNN,1,1,0
mens,Antonio Tiberi,ITA,TBV,8,12,480
mens,Antwan Tolhoek,NED,XYZ,1,1,0
mens,Archie Ryan,IRL,EFE,2,6,180
mens,Arjen Livyns,BEL,XAT,1,1,130
mens,Arnaud De Lie,BEL,LOI,20,20,1887
mens,Arnaud Démare,FRA,ZZZ,1,5,295
mens,Arnaud Tissières,SUI,EFC,1,1,0
mens,Arne Marit,BEL,RBH,3,1,340
mens,Artem Fofonov,FRA,AQD,1,0,0
mens,Artem Nych,RUS,ACR,1,1,0
mens,Artem Shmidt,USA,IGD,1,1,150
mens,Arthur Kluckers,LUX,TUD,1,1,100
mens,Arthur Progin,SUI,TUU,1,0,0
mens,Artuur Torney,BEL,TFB,1,0,0
