male,giro-della-toscana-memorial-alfredo-martini,2026-09-09,1
male,coppa-sabatini-gp-citta-di-peccioli,2026-09-10,1
male,grand-prix-cycliste-de-quebec,2026-09-11,1
male,memorial-marco-pantani,2026-09-12,1
male,tour-of-taihu-lake,2026-09-12,4
male,gp-cycliste-de-montreal,2026-09-13,1
male,gp-de-fourmies-la-voix-du-nord,2026-09-13,1
male,trofeo-matteotti,2026-09-13,1
male,il-giro-d-abruzzo,2026-09-15,4
male,skoda-tour-luxembourg,2026-09-16,5
male,okolo-slovenska-tour-de-slovaquie,2026-09-16,5
male,gp-de-wallonie,2026-09-16,1
male,kampioenschap-van-vlaanderen,2026-09-18,1
male,super-8-primus-classic,2026-09-19,1
male,gooikse-pijl,2026-09-20,1
male,world-championship-time-trial,2026-09-20,1
male,gp-d-isbergues-pas-de-calais,2026-09-20,1
male,giro-della-romagna,2026-09-20,1
male,world-mens-u23-time-trial,2026-09-21,1
male,cro-race,2026-09-22,6
male,world-championship-mixed-time-trial,2026-09-22,1
male,omloop-van-het-houtland,2026-09-23,1
male,world-mens-u23-road-race,2026-09-25,1
male,world-championship-road-race,2026-09-27,1
male,tour-de-langkawi,2026-09-27,8
male,paris-chauny,2026-09-27,1
male,sparkassen-munsterland-giro,2026-10-03,1
male,giro-dell-emilia,2026-10-03,1
male,il-piccolo-lombardia,2026-10-03,1
male,tour-de-vendee,2026-10-04,1
male,uec-road-european-championships-rr,2026-10-04,1
male,coppa-agostoni-giro-delle-brianze,2026-10-04,1
male,coppa-bernocchi-gp-bpm,2026-10-05,1
male,tre-valli-varesine,2026-10-06,1
male,binche-chimay-binche-memorial-frank-vandenbroucke,2026-10-06,1
male,uec-road-european-championships-itt,2026-10-07,1
male,gran-piemonte,2026-10-08,1
male,il-lombardia,2026-10-10,1
male,paris-tours,2026-10-11,1
male,paris-tours-espoirs,2026-10-11,1
male,tour-of-guangxi,2026-10-13,6
male,giro-del-veneto,2026-10-14,1
male,veneto-classic,2026-10-18,1
male,japan-cup-cycle-road-race,2026-10-18,1
male,chrono-des-nations,2026-10-18,1
female,omloop-het-nieuwsblad,2026-02-28,1
female,omloop-van-het-hageland,2026-03-01,1
female,le-samyn-des-dames,2026-03-02,1
female,vuelta-extremadura-feminas,2026-03-06,1
female,strade-bianche,2026-03-07,1
female,trofeo-oro-in-euro,2026-03-08,1
female,ixina-gp-oetingen,2026-03-11,1
female,trofeo-alfredo-binda-comune-di-cittiglio,2026-03-15,1
female,danilith-nokere-koerse,2026-03-18,1
female,milano-sanremo,2026-03-21,1
female,ronde-van-brugge,2026-03-26,1
female,gent-wevelgem-in-flanders-fields,2026-03-29,1
female,dwars-door-vlaanderen-a-travers-la-flandre,2026-04-01,1
female,ronde-van-vlaanderen,2026-04-05,1
female,scheldeprijs,2026-04-08,1
female,paris-roubaix,2026-04-12,1
female,brabantse-pijl-la-fleche-brabanconne,2026-04-17,1
